Instancia;Vecino más cercano;Clarke and Wright;Vecino más cercano + swap;Vecino más cercano + relocate;Clarke and Wright + swap;Clarke and Wright + relocate; Vecino más cercano + swap + relocate
E016-03m;316.741;281.653;316.741;312.510;281.653;281.653;312.510
E016-05m;397.027;337.396;383.254;385.911;336.567;337.396;380.266
E021-04m;451.814;381.125;439.698;444.121;370.915;381.125;432.004
E021-06m;569.527;463.475;550.045;532.469;458.159;463.475;523.598
E022-04g;589.421;388.772;589.421;470.902;385.497;387.543;470.902
E022-06m;745.586;508.721;578.293;656.726;508.721;508.219;546.473
E023-03g;746.734;623.380;698.409;682.415;623.380;623.380;642.441
E023-05S;746.734;623.380;698.409;682.415;623.380;623.380;642.441
E026-08m;631.455;629.194;631.455;631.310;627.956;629.194;631.310
E030-03g;639.694;532.072;621.387;583.674;532.072;532.072;593.391
E030-04S;639.694;532.072;621.387;583.674;532.072;532.072;593.391
E031-09h;695.917;625.215;660.821;641.097;623.933;624.391;606.264
E033-03N;2601.305;2075.574;2599.194;2287.367;2075.574;2075.237;2287.367
E033-04g;1002.190;843.749;985.042;928.123;843.749;843.749;918.045
E033-05s;1002.190;843.749;985.042;928.123;843.749;843.749;918.045
E036-11h;910.120;731.860;894.120;888.484;731.860;731.860;835.721
E041-14h;1070.697;889.953;969.135;1007.996;889.953;889.953;969.135
E045-04f;1233.568;743.469;1178.755;817.778;742.185;742.185;818.309
E048-04y;52006.220;43477.378;50604.002;48846.802;43011.764;43477.378;47765.116
E051-05e;711.499;584.637;711.499;672.565;584.637;577.994;672.565
E072-04f;368.267;257.796;368.267;295.248;257.796;257.730;295.248
E076-07s;1070.190;752.792;1035.042;807.996;749.913;750.948;851.330
E076-07u;1070.190;752.792;1035.042;807.996;749.913;750.948;851.330
E076-08s;1149.405;799.249;1084.794;908.555;789.084;799.249;883.106
E076-08u;1149.405;799.249;1084.794;908.555;789.084;799.249;883.106
E076-10e;1205.848;878.991;1125.712;1092.948;878.991;878.991;1071.782
E076-14s;1372.637;1086.557;1320.810;1174.470;1085.765;1086.557;1136.095
E076-14u;1372.637;1086.557;1320.810;1174.470;1085.765;1086.557;1136.095
E076-15s;1446.853;1086.557;1372.520;1196.535;1085.765;1086.557;1245.539
E076A10r;2856.574;1656.971;2350.318;1760.830;1656.971;1649.588;1842.843
E076B09r;2262.944;1358.232;2165.329;1746.093;1358.232;1358.230;1754.912
E076C09r;2215.475;1401.463;2014.469;1757.642;1400.349;1396.229;1727.171
E076D09r;2214.109;1422.403;2000.781;1734.528;1422.403;1420.661;1651.587
E101-08e;1174.361;890.720;1115.620;991.236;890.720;890.720;997.423
E101-10c;1311.500;829.869;1165.112;1095.315;829.869;828.011;1127.096
E101-14s;1610.907;1151.143;1499.476;1310.856;1150.668;1150.241;1287.283
E101-14u;1610.907;1151.143;1499.476;1310.856;1150.668;1150.241;1287.283
E101A11r;3437.595;2160.203;3308.561;2564.100;2160.203;2158.204;2787.835
E101B11r;3321.379;1997.946;2954.718;2391.408;1985.477;1986.914;2294.820
E101C11r;2916.300;1446.372;2573.273;1624.994;1445.600;1443.599;1730.794
E101D11r;2879.227;1694.035;2576.377;2126.795;1692.359;1683.130;2040.933
E121-07c;1565.335;1075.840;1550.627;1249.001;1075.840;1075.840;1298.592
E135-07f;1784.336;1198.189;1784.059;1573.515;1198.189;1196.023;1559.628
E151-12b;1426.230;1146.316;1426.176;1248.303;1145.746;1146.316;1237.749
E151-12c;1429.424;1162.758;1424.943;1248.303;1162.084;1162.758;1264.729
E151A15r;4902.374;3299.747;4743.670;4008.722;3294.351;3278.683;3870.254
E151B14r;4384.566;2883.471;4109.569;3321.559;2881.298;2871.729;3061.729
E151C14r;4367.582;2448.486;4347.500;3334.589;2441.372;2438.004;3229.965
E151D14r;4964.531;2790.844;4192.313;3163.344;2790.421;2787.690;3389.455
E200-16b;1934.537;1410.143;1753.024;1602.441;1409.304;1409.165;1538.700
E200-16c;1746.943;1404.468;1728.140;1573.168;1401.583;1392.486;1594.586
E200-17b;2034.397;1410.143;1860.101;1516.136;1409.304;1409.165;1704.640
E200-17c;1829.333;1404.468;1791.317;1567.111;1401.583;1392.486;1634.154
