Instancia;Grasp 10;Grasp 100;Grasp 1000; Grasp 10000
E016-03m;342.510;342.510;342.510;342.510;
E016-05m;379.573;379.573;379.573;379.573;
E021-04m;518.772;518.772;518.772;464.213;
E021-06m;522.252;497.690;550.045;528.752;
E022-04g;576.362;576.362;576.362;553.296;
E022-06m;648.473;648.473;648.473;589.938;
E023-03g;793.932;793.932;793.932;702.249;
E023-05S;728.964;728.964;728.964;698.409;
E026-08m;631.455;631.455;631.455;631.455;
E030-03g;621.387;621.387;621.387;621.387;
E030-04S;831.714;831.714;667.835;667.159;
E031-09h;708.284;708.284;658.221;658.221;
E033-03N;4135.378;4135.378;3396.449;2599.194;
E033-04g;1039.046;1039.046;1039.046;990.859;
E033-05s;1039.046;1039.046;1035.040;985.042;
E036-11h;765.371;765.371;806.770;731.116;
E041-14h;889.060;889.060;889.060;858.143;
E045-04f;1211.344;1211.344;1211.344;1211.344;
E048-04y;58518.966;58518.966;50604.002;50604.002;
E051-05e;711.499;711.499;711.499;716.210;
E072-04f;381.036;381.036;381.036;368.267;
E076-07s;1117.689;1117.689;1060.309;1021.513;
E076-07u;1042.357;1035.844;1035.844;1006.602;
E076-08s;1084.794;1084.794;953.471;1014.638;
E076-08u;1167.628;1167.628;1171.912;1018.112;
E076-10e;1190.177;1190.177;1069.869;1069.869;
E076-14s;1304.321;1304.321;1267.917;1220.499;
E076-14u;1304.321;1304.321;1304.321;1222.793;
E076-15s;1333.518;1333.518;1333.518;1271.185;
E076A10r;2701.602;2411.132;2350.318;2350.318;
E076B09r;3119.941;3119.941;2256.744;1944.975;
E076C09r;2176.485;2176.485;2039.924;1915.897;
E076D09r;2058.989;2058.989;2003.902;2000.781;
E101-08e;1115.620;1115.620;1115.620;1115.620;
E101-10c;1290.103;1177.007;1164.435;1062.828;
E101-14s;1570.478;1570.478;1499.476;1462.988;
E101-14u;1496.635;1496.635;1447.835;1419.507;
E101A11r;3308.561;3308.561;3299.221;2764.059;
E101B11r;3334.004;3334.004;2927.668;2927.668;
E101C11r;2573.273;2573.273;2573.273;2290.684;
E101D11r;2576.377;2576.377;2576.377;2503.421;
E121-07c;1550.627;1550.627;1529.396;1398.849;
E135-07f;1784.059;1784.059;1784.059;1685.431;
E151-12b;1452.105;1452.105;1426.176;1412.918;
E151-12c;1424.943;1424.943;1424.943;1405.361;
E151A15r;4723.785;4940.290;4625.881;4575.141;
E151B14r;4109.569;4109.569;3930.585;3585.085;
E151C14r;4419.013;4419.013;4033.330;3874.819;
E151D14r;4639.896;4414.025;4192.313;3896.187;
E200-16b;2251.841;1998.046;1753.024;1705.247;
E200-16c;1786.007;1728.140;1692.345;1689.474;
E200-17b;2152.844;1974.586;1812.603;1812.603;
E200-17c;1791.317;1759.458;1756.587;1756.587;
