Instancia;Grasp 10;Grasp 100;Grasp 1000; Grasp 10000
E016-03m;404.729;404.729;404.729;316.741;
E016-05m;383.254;383.254;383.254;379.573;
E021-04m;436.078;436.078;436.078;436.078;
E021-06m;657.333;657.333;657.333;614.315;
E022-04g;647.540;647.540;647.540;647.540;
E022-06m;714.790;714.790;633.591;666.795;
E023-03g;911.828;911.828;911.828;911.828;
E023-05S;1122.117;1122.117;890.464;890.464;
E026-08m;826.440;826.440;826.440;826.440;
E030-03g;958.818;958.818;958.818;632.240;
E030-04S;792.844;730.099;769.545;632.240;
E031-09h;677.801;677.801;677.801;677.801;
E033-03N;3829.633;3829.633;3829.633;2598.983;
E033-04g;1255.659;1255.659;1255.659;1006.464;
E033-05s;1242.349;1242.349;1242.349;1006.464;
E036-11h;1046.039;1046.039;1046.039;876.308;
E041-14h;1091.307;1091.307;1053.157;926.714;
E045-04f;2313.209;2313.209;2313.209;1220.501;
E048-04y;92468.097;92468.097;92468.097;51788.085;
E051-05e;711.499;711.499;711.499;711.499;
E072-04f;605.308;605.308;605.308;368.267;
E076-07s;1229.859;1229.859;1029.916;1043.210;
E076-07u;1594.942;1594.942;1229.859;1035.895;
E076-08s;1358.843;1358.843;1338.185;1120.746;
E076-08u;1146.020;1146.020;1453.312;1125.296;
E076-10e;1854.838;1854.838;1210.724;1210.724;
E076-14s;1397.323;1397.323;1397.323;1346.353;
E076-14u;1997.134;1997.134;1627.549;1416.837;
E076-15s;2061.003;2061.003;1474.161;1420.569;
E076A10r;2805.469;2805.469;2805.469;2805.469;
E076B09r;3810.895;3810.895;3810.895;2111.573;
E076C09r;2341.417;2341.417;2341.417;2195.595;
E076D09r;3184.590;3184.590;2568.840;2055.865;
E101-08e;1780.670;1780.670;1165.001;1163.090;
E101-10c;2198.077;2198.077;1278.950;1270.637;
E101-14s;2345.838;2345.838;1816.883;1582.252;
E101-14u;2345.838;2345.838;1584.202;1577.697;
E101A11r;4558.890;4558.890;3305.217;3314.674;
E101B11r;4005.683;4005.683;3952.975;2879.153;
E101C11r;3424.585;2959.165;2959.165;2871.492;
E101D11r;3249.211;3249.211;3228.801;2804.367;
E121-07c;2271.185;2271.185;1993.372;1464.964;
E135-07f;2729.653;2729.653;1804.666;1784.059;
E151-12b;1452.159;1452.159;1443.688;1426.176;
E151-12c;2562.436;1429.424;1429.424;1424.943;
E151A15r;5704.477;5704.477;6938.270;4790.198;
E151B14r;7552.499;6167.556;6311.180;4200.529;
E151C14r;6729.365;6729.365;4347.500;4160.371;
E151D14r;5103.481;7150.476;5103.481;4704.528;
E200-16b;3164.351;2658.384;1867.665;1867.114;
E200-16c;1739.443;1739.443;1711.641;1711.641;
E200-17b;3231.194;2429.982;1941.007;1853.494;
E200-17c;2533.926;2533.926;1813.758;1791.159;
