Instancia;Grasp 10;Grasp 100;Grasp 1000; Grasp 10000
E016-03m;328.571;328.571;328.571;346.123;
E016-05m;407.601;407.601;407.601;407.601;
E021-04m;462.900;462.900;462.900;405.112;
E021-06m;504.297;504.297;504.297;504.297;
E022-04g;483.029;483.029;483.029;464.047;
E022-06m;570.021;570.021;570.021;538.546;
E023-03g;675.580;675.580;675.536;675.536;
E023-05S;707.541;707.541;707.541;720.782;
E026-08m;610.642;610.642;610.642;631.310;
E030-03g;593.391;593.391;593.391;593.391;
E030-04S;683.036;683.036;683.036;629.122;
E031-09h;695.024;695.024;695.024;603.664;
E033-03N;2287.157;2287.157;2287.157;2287.157;
E033-04g;945.371;945.371;945.371;918.045;
E033-05s;918.045;918.045;918.045;906.284;
E036-11h;769.249;769.249;682.225;718.053;
E041-14h;855.338;855.338;855.338;855.338;
E045-04f;1085.292;1085.292;954.094;959.410;
E048-04y;57126.074;57126.074;57126.074;48597.254;
E051-05e;672.565;672.565;672.565;672.565;
E072-04f;381.313;381.313;352.637;299.365;
E076-07s;889.394;889.394;837.618;878.285;
E076-07u;837.618;837.618;858.941;837.506;
E076-08s;899.908;899.908;887.189;958.504;
E076-08u;940.940;940.940;994.789;895.831;
E076-10e;1129.754;1129.754;1028.800;1028.800;
E076-14s;1165.415;1165.415;1203.701;1203.701;
E076-14u;1165.415;1142.152;1203.701;1203.701;
E076-15s;1370.554;1370.554;1345.987;1171.833;
E076A10r;2157.151;2157.151;1842.843;1785.889;
E076B09r;2414.914;2414.914;1830.480;1754.912;
E076C09r;1832.880;1832.880;1660.528;1727.171;
E076D09r;1741.288;1741.288;1651.587;1651.587;
E101-08e;1297.784;991.946;1001.420;1001.420;
E101-10c;1127.096;1127.096;1123.961;1017.514;
E101-14s;1404.225;1271.916;1287.283;1282.804;
E101-14u;1390.153;1362.354;1408.685;1298.081;
E101A11r;2530.005;2822.994;2473.482;2536.513;
E101B11r;2735.134;2735.134;2390.414;2341.013;
E101C11r;2162.566;1715.686;1715.686;2000.736;
E101D11r;2088.681;1981.677;2040.933;2040.933;
E121-07c;1572.275;1303.355;1303.355;1190.340;
E135-07f;1559.628;1559.628;1474.962;1482.011;
E151-12b;1433.409;1239.404;1237.749;1237.749;
E151-12c;1264.729;1264.729;1264.729;1252.023;
E151A15r;4018.639;3888.244;4022.957;3766.634;
E151B14r;3386.500;3386.500;3386.500;2974.921;
E151C14r;3306.407;3306.407;3229.965;2871.638;
E151D14r;3343.081;3866.000;3389.455;3272.514;
E200-16b;1900.327;1538.700;1538.700;1582.891;
E200-16c;1558.025;1558.025;1558.025;1555.154;
E200-17b;1697.212;1732.347;1730.981;1730.981;
E200-17c;1624.727;1624.727;1624.727;1621.856;
