Instancia;Grasp 10;Grasp 100;Grasp 1000; Grasp 10000
E016-03m;913;8880;79030;753948;
E016-05m;959;8834;80843;803501;
E021-04m;1374;12912;121560;1220585;
E021-06m;1349;13358;121911;1248162;
E022-04g;1512;14580;133485;1319590;
E022-06m;1573;14291;133842;1309912;
E023-03g;1552;15349;134405;1320543;
E023-05S;1603;15066;143406;1317078;
E026-08m;1945;18927;173819;1702586;
E030-03g;2325;21653;228531;2147540;
E030-04S;2434;22617;223429;2177998;
E031-09h;2652;24706;242412;2343246;
E033-03N;3152;26591;254389;2443179;
E033-04g;2843;25966;254197;2456252;
E033-05s;2734;25354;241897;2457038;
E036-11h;3500;33265;320430;3131593;
E041-14h;4565;44140;419673;4141847;
E045-04f;4967;42801;414968;4190336;
E048-04y;6710;59737;576544;5802493;
E051-05e;7494;60904;581322;5803923;
E072-04f;11590;107369;1034843;10321243;
E076-07s;13962;132742;1283667;12451995;
E076-07u;14952;131419;1289847;12458343;
E076-08s;13896;129221;1254667;12370007;
E076-08u;15058;130536;1300340;12403637;
E076-10e;14478;133861;1304448;12428263;
E076-14s;14030;131861;1240050;12505202;
E076-14u;14715;133361;1294263;12420934;
E076-15s;15102;129921;1262509;12475482;
E076A10r;11888;111393;1061536;10854989;
E076B09r;13074;112782;1096834;10592498;
E076C09r;12707;121758;1157511;11305891;
E076D09r;12347;111016;1088984;10800629;
E101-08e;25946;229295;2217522;22217776;
E101-10c;27643;250240;2459381;24287379;
E101-14s;24557;219290;2165934;21496548;
E101-14u;26787;227979;2195906;21542031;
E101A11r;22425;193924;1945777;19285546;
E101B11r;22588;199969;1957878;19489516;
E101C11r;22072;188705;1900723;18591715;
E101D11r;23747;213097;2052844;20290590;
E121-07c;38566;346037;3353378;33575761;
E135-07f;46058;403506;4005373;40411879;
E151-12b;59543;535984;5307633;52815261;
E151-12c;60324;531838;5364750;52768269;
E151A15r;51413;454760;4555668;45170529;
E151B14r;52253;461537;4770570;46579500;
E151C14r;48546;440197;4453394;44277398;
E151D14r;53721;483109;4608748;46612153;
E200-16b;115161;1022740;10174707;101985821;
E200-16c;116843;1052128;10106715;101009134;
E200-17b;122574;1055673;10263220;102817539;
E200-17c;116487;1048962;10369229;104141597;
