Instancia;Vecino más cercano;Clarke and Wright;Vecino más cercano + swap;Vecino más cercano + relocate;Clarke and Wright + swap;Clarke and Wright + relocate; Vecino más cercano + swap + relocate
E016-03m;30;120;34;33;125;120;39
E016-05m;37;167;49;40;189;139;61
E021-04m;67;287;80;61;349;333;93
E021-06m;56;260;87;74;311;279;98
E022-04g;55;301;62;89;333;347;124
E022-06m;60;336;224;105;383;379;204
E023-03g;53;340;115;123;346;393;263
E023-05S;79;490;136;225;450;372;365
E026-08m;98;514;107;87;498;505;113
E030-03g;93;914;154;226;789;820;329
E030-04S;81;782;151;224;903;820;370
E031-09h;114;907;339;143;1049;1162;366
E033-03N;97;1054;163;730;1300;1274;706
E033-04g;100;1163;214;288;1136;1195;475
E033-05s;103;1184;221;306;1402;1242;387
E036-11h;152;1624;317;231;2041;1974;363
E041-14h;221;2960;972;409;4144;3625;1012
E045-04f;175;4091;380;1335;3225;3196;1066
E048-04y;258;3963;929;607;4007;3819;1584
E051-05e;232;5465;363;290;5174;6192;332
E072-04f;535;18490;428;2791;18231;16205;3375
E076-07s;586;20894;1168;4210;19001;23201;2292
E076-07u;464;22795;847;3878;20263;22228;2418
E076-08s;441;20356;1035;1174;19962;25345;3777
E076-08u;652;20211;1059;1206;19950;21453;2450
E076-10e;453;20561;1426;698;19114;20888;1607
E076-14s;539;22273;1795;861;20234;21400;2258
E076-14u;691;21915;1539;730;19430;18672;2312
E076-15s;776;21094;1923;1641;19499;20680;2261
E076A10r;699;21215;3779;14214;21217;19610;9821
E076B09r;425;20337;1129;4391;19434;23194;5383
E076C09r;497;22585;1877;3470;19302;22570;7604
E076D09r;649;19257;1121;5772;17834;24778;7855
E101-08e;874;61138;3405;4799;57980;53353;6108
E101-10c;749;67646;5048;2280;56315;56391;4896
E101-14s;840;59376;4006;9380;57817;56131;8423
E101-14u;1121;63307;4730;6110;55982;59054;7337
E101A11r;1045;65345;1993;7327;54576;60426;8716
E101B11r;875;79361;5073;17205;69118;56452;17810
E101C11r;950;67133;3501;27195;62447;68183;32788
E101D11r;967;71263;4117;8716;69363;72142;12780
E121-07c;1292;124626;1877;2778;115916;117461;4375
E135-07f;1504;184659;1745;9318;184741;182422;14184
E151-12b;2023;285133;2464;7553;279562;266574;12854
E151-12c;2258;284745;2829;9072;276306;262699;8633
E151A15r;1976;277936;4950;30968;255365;280655;53662
E151B14r;1924;320756;4949;33358;272074;318812;47605
E151C14r;2100;284344;2774;17199;286948;302523;22286
E151D14r;1628;284940;13858;39153;264410;273638;42670
E200-16b;2722;841184;18815;4331;841474;839388;22334
E200-16c;3324;860182;8380;5457;870961;888899;11863
E200-17b;3590;844054;23194;34726;839230;849914;20611
E200-17c;2881;859135;7027;15137;867889;925702;15957
