Instancia;Vecino más cercano;Vecino más cercano + swap;Vecino más cercano + relocate; Vecino más cercano + swap + relocate
E016-03m;316.741;316.741;312.510;312.510
E016-05m;397.027;383.254;385.911;380.266
E021-04m;451.814;439.698;444.121;432.004
E021-06m;569.527;550.045;532.469;506.290
E022-04g;589.421;589.421;470.902;468.460
E022-06m;745.586;578.293;656.726;523.147
E023-03g;746.734;698.409;682.415;642.441
E023-05S;746.734;698.409;682.415;642.441
E026-08m;631.455;631.455;631.310;631.310
E030-03g;639.694;621.387;583.674;593.391
E030-04S;639.694;621.387;583.674;593.391
E031-09h;695.917;660.821;641.097;611.116
E033-03N;2601.305;2599.194;2287.367;2287.367
E033-04g;1002.190;985.042;928.123;946.078
E033-05s;1002.190;985.042;928.123;946.078
E036-11h;910.120;894.120;888.484;848.766
E041-14h;1070.697;969.135;1007.996;968.779
E045-04f;1233.568;1178.755;817.778;821.432
E048-04y;52006.220;50604.002;48846.802;48668.225
E051-05e;711.499;711.499;672.565;672.565
E072-04f;368.267;368.267;295.248;303.906
E076-07s;1070.190;1035.042;807.996;838.376
E076-07u;1070.190;1035.042;807.996;838.376
E076-08s;1149.405;1084.794;908.555;845.028
E076-08u;1149.405;1084.794;908.555;845.028
E076-10e;1205.848;1125.712;1092.948;1089.611
E076-14s;1372.637;1320.810;1174.470;1136.016
E076-14u;1372.637;1320.810;1174.470;1136.016
E076-15s;1446.853;1372.520;1196.535;1109.222
E076A10r;2856.574;2350.318;1760.830;1810.823
E076B09r;2262.944;2165.329;1746.093;1896.505
E076C09r;2215.475;2014.469;1757.642;1663.148
E076D09r;2214.109;2000.781;1734.528;1637.037
E101-08e;1174.361;1115.620;991.236;956.647
E101-10c;1311.500;1165.112;1095.315;1149.490
E101-14s;1610.907;1499.476;1310.856;1257.910
E101-14u;1610.907;1499.476;1310.856;1257.910
E101A11r;3437.595;3308.561;2564.100;2571.809
E101B11r;3321.379;2954.718;2391.408;2290.796
E101C11r;2916.300;2573.273;1624.994;1708.034
E101D11r;2879.227;2576.377;2126.795;1939.508
E121-07c;1565.335;1550.627;1249.001;1291.829
E135-07f;1784.336;1784.059;1573.515;1574.457
E151-12b;1426.230;1426.176;1248.303;1230.712
E151-12c;1429.424;1424.943;1248.303;1249.888
E151A15r;4902.374;4743.670;4008.722;3832.394
E151B14r;4384.566;4109.569;3321.559;3128.197
E151C14r;4367.582;4347.500;3334.589;3181.895
E151D14r;4964.531;4192.313;3163.344;3232.418
E200-16b;1934.537;1753.024;1602.441;1555.481
E200-16c;1746.943;1728.140;1573.168;1548.718
E200-17b;2034.397;1860.101;1516.136;1555.901
E200-17c;1829.333;1791.317;1567.111;1589.779
