Instancia;Vecino más cercano;Clarke and Wright;Vecino más cercano + swap;Vecino más cercano + relocate;Clarke and Wright + swap;Clarke and Wright + relocate; Vecino más cercano + swap + relocate
E016-03m;316.741;281.653;316.741;312.510;281.653;281.653;312.510
E016-05m;397.027;337.396;383.254;385.911;336.567;337.396;380.266
E021-04m;451.814;381.125;439.698;444.121;370.915;381.125;432.004
E021-06m;569.527;463.475;551.249;541.870;458.159;463.475;528.296
E022-04g;589.421;388.772;589.421;540.783;385.497;387.543;540.783
E022-06m;745.586;508.721;719.875;700.873;508.721;508.219;672.881
E023-03g;746.734;623.380;711.392;736.743;623.380;623.380;701.322
E023-05S;746.734;623.380;711.392;736.743;623.380;623.380;701.322
E026-08m;631.455;629.194;631.455;631.310;627.956;629.194;631.310
E030-03g;639.694;532.072;632.240;620.446;532.072;532.072;615.410
E030-04S;639.694;532.072;632.240;620.446;532.072;532.072;615.410
E031-09h;695.917;625.215;677.801;650.470;623.933;624.391;627.659
E033-03N;2601.305;2075.574;2599.194;2522.176;2075.574;2075.237;2548.927
E033-04g;1002.190;843.749;1000.458;963.914;843.749;843.749;967.952
E033-05s;1002.190;843.749;1000.458;963.914;843.749;843.749;967.952
E036-11h;910.120;731.860;897.749;888.484;731.860;731.860;867.220
E041-14h;1070.697;889.953;1044.237;1037.824;889.953;889.953;1019.658
E045-04f;1233.568;743.469;1220.501;1110.953;742.185;743.083;1097.886
E048-04y;52006.220;43477.378;51788.085;50566.574;43335.446;43477.378;50529.101
E051-05e;711.499;584.637;711.499;672.565;584.637;583.787;672.565
E072-04f;368.267;257.796;368.267;360.185;257.796;257.730;360.185
E076-07s;1070.190;752.792;1035.895;991.127;749.913;751.035;956.832
E076-07u;1070.190;752.792;1035.895;991.127;749.913;751.035;956.832
E076-08s;1149.405;799.249;1125.296;1079.294;792.771;799.249;1055.185
E076-08u;1149.405;799.249;1125.296;1079.294;792.771;799.249;1055.185
E076-10e;1205.848;878.991;1184.557;1168.301;878.991;878.991;1147.010
E076-14s;1372.637;1086.557;1346.353;1304.414;1085.765;1086.557;1282.753
E076-14u;1372.637;1086.557;1346.353;1304.414;1085.765;1086.557;1282.753
E076-15s;1446.853;1086.557;1420.569;1378.630;1085.765;1086.557;1356.969
E076A10r;2856.574;1656.971;2805.469;2728.776;1656.971;1656.509;2678.451
E076B09r;2262.944;1358.232;2248.008;2080.780;1358.232;1358.230;2125.391
E076C09r;2215.475;1401.463;2195.595;2094.267;1401.453;1400.861;2114.637
E076D09r;2214.109;1422.403;2055.865;2159.141;1422.403;1421.666;2000.897
E101-08e;1174.361;890.720;1165.001;1144.021;890.720;890.720;1134.661
E101-10c;1311.500;829.869;1270.637;1242.494;829.869;828.011;1201.631
E101-14s;1610.907;1151.143;1582.252;1562.912;1150.668;1150.241;1534.016
E101-14u;1610.907;1151.143;1582.252;1562.912;1150.668;1150.241;1534.016
E101A11r;3437.595;2160.203;3392.229;3354.097;2160.203;2159.744;3340.375
E101B11r;3321.379;1997.946;3217.790;3197.000;1996.693;1994.170;3093.929
E101C11r;2916.300;1446.372;2847.541;2790.332;1445.600;1445.575;2721.573
E101D11r;2879.227;1694.035;2804.367;2734.406;1692.810;1692.980;2672.353
E121-07c;1565.335;1075.840;1557.438;1512.388;1075.840;1075.840;1504.492
E135-07f;1784.336;1198.189;1784.059;1736.089;1198.189;1197.534;1735.812
E151-12b;1426.230;1146.316;1426.176;1386.223;1145.746;1146.316;1386.168
E151-12c;1429.424;1162.758;1424.943;1389.416;1162.084;1162.758;1384.935
E151A15r;4902.374;3299.747;4790.198;4776.036;3294.351;3296.359;4663.860
E151B14r;4384.566;2883.471;4311.939;4199.355;2881.298;2878.375;4127.963
E151C14r;4367.582;2448.486;4347.500;4223.449;2445.174;2441.305;4205.131
E151D14r;4964.531;2790.844;4751.580;4723.536;2790.629;2789.040;4500.751
E200-16b;1934.537;1410.143;1908.993;1869.383;1409.304;1409.728;1844.252
E200-16c;1746.943;1404.468;1739.443;1700.230;1402.729;1402.971;1696.173
E200-17b;2034.397;1410.143;2008.853;1969.243;1409.304;1409.728;1944.112
E200-17c;1829.333;1404.468;1813.758;1782.619;1402.729;1402.971;1767.044
