Instancia;Grasp 10;Grasp 100;Grasp 1000; Grasp 10000
E016-03m;380.847;380.847;380.847;380.847;
E016-05m;409.923;409.923;409.923;391.966;
E021-04m;557.493;557.493;557.493;557.493;
E021-06m;581.163;581.163;581.163;554.899;
E022-04g;560.170;560.170;560.170;560.170;
E022-06m;633.365;633.365;633.365;633.365;
E023-03g;640.424;640.424;640.424;639.934;
E023-05S;639.934;639.934;639.934;639.934;
E026-08m;662.302;662.302;662.302;631.310;
E030-03g;608.285;608.285;608.285;608.285;
E030-04S;637.139;637.139;637.139;637.139;
E031-09h;711.228;711.228;711.228;711.228;
E033-03N;2762.339;2762.339;2762.339;2624.788;
E033-04g;941.075;941.075;941.075;941.075;
E033-05s;995.057;995.057;995.057;943.074;
E036-11h;884.825;884.825;884.825;884.825;
E041-14h;1079.521;1079.521;1079.521;955.452;
E045-04f;997.881;997.881;997.881;818.309;
E048-04y;46492.234;46492.234;46492.234;48846.802;
E051-05e;1046.075;1046.075;973.431;772.389;
E072-04f;329.071;405.656;405.656;271.346;
E076-07s;823.563;823.563;1018.832;800.104;
E076-07u;883.220;883.220;883.220;813.849;
E076-08s;857.514;857.514;857.514;871.050;
E076-08u;986.082;986.082;958.666;882.005;
E076-10e;1089.862;1089.862;1089.862;1089.862;
E076-14s;1536.347;1536.347;1536.347;1163.454;
E076-14u;1163.454;1163.454;1163.454;1170.463;
E076-15s;1283.364;1283.364;1283.364;1334.463;
E076A10r;1949.023;1949.023;1949.023;1832.421;
E076B09r;2211.903;2211.903;2211.903;2033.344;
E076C09r;1849.129;1849.129;1690.315;1726.990;
E076D09r;1872.640;1872.640;1872.640;1586.412;
E101-08e;1042.489;1042.489;989.281;962.428;
E101-10c;1139.449;1062.544;1160.266;1160.266;
E101-14s;1292.723;1292.723;1368.258;1264.224;
E101-14u;1312.097;1312.097;1312.097;1266.175;
E101A11r;2516.668;2516.668;2625.695;2597.330;
E101B11r;2329.792;2329.792;2770.204;2260.926;
E101C11r;1761.770;1761.770;1622.310;1622.310;
E101D11r;2337.629;2337.629;2337.629;2109.833;
E121-07c;1637.868;1637.868;1549.046;1250.793;
E135-07f;1548.964;1548.964;1559.628;1559.628;
E151-12b;1276.482;1379.697;1379.697;1237.749;
E151-12c;1316.724;1316.724;1248.303;1264.729;
E151A15r;3981.954;3981.954;4099.713;3865.030;
E151B14r;3463.790;3463.790;3451.963;3463.790;
E151C14r;3988.645;4809.455;3240.894;3229.965;
E151D14r;3359.143;3359.143;3453.180;3607.949;
E200-16b;1715.844;1715.844;2170.397;1723.874;
E200-16c;2266.015;1563.740;1560.870;1563.740;
E200-17b;1516.958;1516.958;1701.110;1822.847;
E200-17c;1605.475;1605.475;1605.475;1588.116;
